"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 14 00:55:02 UTC 2026","Tue Jul 14 00:55:27 UTC 2026","24521","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 14 00:54:39 UTC 2026","Tue Jul 14 00:55:02 UTC 2026","22875","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 14 00:55:27 UTC 2026","Tue Jul 14 00:55:51 UTC 2026","23890","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 14 00:55:51 UTC 2026","Tue Jul 14 00:56:07 UTC 2026","16392","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
