"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 19 04:21:17 UTC 2026","Wed Aug 19 04:21:38 UTC 2026","21503","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Aug 19 04:20:51 UTC 2026","Wed Aug 19 04:21:17 UTC 2026","25555","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Wed Aug 19 04:21:56 UTC 2026","Wed Aug 19 04:22:28 UTC 2026","32298","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Aug 19 04:21:38 UTC 2026","Wed Aug 19 04:21:56 UTC 2026","17487","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
