"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 07 10:27:28 UTC 2026","Fri Aug 07 10:27:52 UTC 2026","23810","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 10:27:52 UTC 2026","Fri Aug 07 10:28:14 UTC 2026","22646","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 10:28:14 UTC 2026","Fri Aug 07 10:28:51 UTC 2026","37286","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 10:27:05 UTC 2026","Fri Aug 07 10:27:28 UTC 2026","22279","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
