"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 04:24:49 UTC 2026","Fri Aug 21 04:25:05 UTC 2026","16101","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 21 04:24:10 UTC 2026","Fri Aug 21 04:24:32 UTC 2026","22262","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 21 04:24:32 UTC 2026","Fri Aug 21 04:24:49 UTC 2026","17150","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 21 04:25:05 UTC 2026","Fri Aug 21 04:25:36 UTC 2026","30946","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
