"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 09 19:59:21 UTC 2026","Sun Aug 09 19:59:38 UTC 2026","17362","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:59:38 UTC 2026","Sun Aug 09 20:00:11 UTC 2026","32543","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:58:40 UTC 2026","Sun Aug 09 19:59:01 UTC 2026","21837","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:59:02 UTC 2026","Sun Aug 09 19:59:21 UTC 2026","19214","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
