"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 08 21:42:22 UTC 2026","Wed Jul 08 21:42:44 UTC 2026","22005","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 08 21:41:02 UTC 2026","Wed Jul 08 21:41:25 UTC 2026","22938","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 08 21:41:25 UTC 2026","Wed Jul 08 21:41:54 UTC 2026","29763","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 08 21:41:54 UTC 2026","Wed Jul 08 21:42:22 UTC 2026","27856","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
