"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 19 03:33:54 UTC 2026","Wed Aug 19 03:34:13 UTC 2026","18823","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"failed","Wed Aug 19 03:33:39 UTC 2026","Wed Aug 19 03:33:54 UTC 2026","15040","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Aug 19 03:34:13 UTC 2026","Wed Aug 19 03:34:46 UTC 2026","32826","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Aug 19 03:33:13 UTC 2026","Wed Aug 19 03:33:39 UTC 2026","26289","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
