"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 17:31:43 UTC 2026","Sat Jul 18 17:32:01 UTC 2026","17270","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 17:31:04 UTC 2026","Sat Jul 18 17:31:25 UTC 2026","21285","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 17:31:25 UTC 2026","Sat Jul 18 17:31:43 UTC 2026","18590","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 17:32:01 UTC 2026","Sat Jul 18 17:32:17 UTC 2026","15892","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
