"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 22:23:54 UTC 2026","Sat Jul 18 22:24:16 UTC 2026","21908","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 22:24:16 UTC 2026","Sat Jul 18 22:24:35 UTC 2026","19614","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 22:24:35 UTC 2026","Sat Jul 18 22:24:53 UTC 2026","17766","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 22:24:53 UTC 2026","Sat Jul 18 22:25:10 UTC 2026","16874","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
