"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 07:34:20 UTC 2026","Wed Jul 15 07:34:37 UTC 2026","16881","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 07:33:12 UTC 2026","Wed Jul 15 07:33:36 UTC 2026","23477","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 07:33:36 UTC 2026","Wed Jul 15 07:33:55 UTC 2026","19726","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 07:33:55 UTC 2026","Wed Jul 15 07:34:20 UTC 2026","24502","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
