"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 17 14:02:28 UTC 2026","Mon Aug 17 14:02:49 UTC 2026","21033","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 17 14:02:49 UTC 2026","Mon Aug 17 14:03:06 UTC 2026","16254","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 17 14:02:02 UTC 2026","Mon Aug 17 14:02:28 UTC 2026","26493","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 17 14:03:06 UTC 2026","Mon Aug 17 14:03:38 UTC 2026","32782","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
