"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 15:12:07 UTC 2026","Wed Jul 15 15:12:41 UTC 2026","33810","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 15:13:44 UTC 2026","Wed Jul 15 15:14:09 UTC 2026","25370","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 15:13:10 UTC 2026","Wed Jul 15 15:13:44 UTC 2026","33141","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"failed","Wed Jul 15 15:12:41 UTC 2026","Wed Jul 15 15:13:10 UTC 2026","29715","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
