"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 07 03:28:55 UTC 2026","Fri Aug 07 03:29:31 UTC 2026","36040","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 03:28:13 UTC 2026","Fri Aug 07 03:28:35 UTC 2026","21593","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 03:28:35 UTC 2026","Fri Aug 07 03:28:55 UTC 2026","20404","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 03:27:54 UTC 2026","Fri Aug 07 03:28:13 UTC 2026","19565","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
