"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 07 12:10:14 UTC 2026","Fri Aug 07 12:10:37 UTC 2026","22474","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 12:10:37 UTC 2026","Fri Aug 07 12:11:13 UTC 2026","36527","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 12:09:28 UTC 2026","Fri Aug 07 12:09:49 UTC 2026","21295","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 12:09:49 UTC 2026","Fri Aug 07 12:10:14 UTC 2026","25056","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
