"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 13:29:41 UTC 2026","Fri Aug 21 13:29:58 UTC 2026","16951","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 21 13:29:00 UTC 2026","Fri Aug 21 13:29:26 UTC 2026","26011","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 21 13:29:58 UTC 2026","Fri Aug 21 13:30:30 UTC 2026","32171","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"failed","Fri Aug 21 13:29:26 UTC 2026","Fri Aug 21 13:29:41 UTC 2026","15358","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
