"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 18:28:48 UTC 2026","Sun Jul 19 18:29:05 UTC 2026","16643","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sun Jul 19 18:29:05 UTC 2026","Sun Jul 19 18:29:20 UTC 2026","15674","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Sun Jul 19 18:28:09 UTC 2026","Sun Jul 19 18:28:30 UTC 2026","20735","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Sun Jul 19 18:28:30 UTC 2026","Sun Jul 19 18:28:48 UTC 2026","17666","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
