"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 14:39:18 UTC 2026","Sat Jul 18 14:39:37 UTC 2026","18724","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 14:39:54 UTC 2026","Sat Jul 18 14:40:11 UTC 2026","16588","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 14:39:37 UTC 2026","Sat Jul 18 14:39:54 UTC 2026","17352","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 14:38:57 UTC 2026","Sat Jul 18 14:39:18 UTC 2026","20955","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
