"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 24 09:16:54 UTC 2026","Mon Aug 24 09:17:27 UTC 2026","32716","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 24 09:16:15 UTC 2026","Mon Aug 24 09:16:37 UTC 2026","21609","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 24 09:15:49 UTC 2026","Mon Aug 24 09:16:15 UTC 2026","26793","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Mon Aug 24 09:16:37 UTC 2026","Mon Aug 24 09:16:54 UTC 2026","16957","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
