"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 11:31:17 UTC 2026","Sat Jul 18 11:31:34 UTC 2026","16634","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 11:31:34 UTC 2026","Sat Jul 18 11:31:50 UTC 2026","15985","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 11:30:59 UTC 2026","Sat Jul 18 11:31:17 UTC 2026","18120","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sat Jul 18 11:30:38 UTC 2026","Sat Jul 18 11:30:59 UTC 2026","20830","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
