"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 15:23:15 UTC 2026","Mon Jul 13 15:23:38 UTC 2026","22995","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 15:23:38 UTC 2026","Mon Jul 13 15:23:55 UTC 2026","16878","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 15:22:51 UTC 2026","Mon Jul 13 15:23:15 UTC 2026","23897","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 15:22:29 UTC 2026","Mon Jul 13 15:22:51 UTC 2026","21943","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
