"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 21 17:54:06 UTC 2026","Tue Jul 21 17:54:27 UTC 2026","21081","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 21 17:54:47 UTC 2026","Tue Jul 21 17:55:06 UTC 2026","18326","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 21 17:55:06 UTC 2026","Tue Jul 21 17:55:55 UTC 2026","49630","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Tue Jul 21 17:54:27 UTC 2026","Tue Jul 21 17:54:47 UTC 2026","20282","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
