"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 18 10:59:26 UTC 2026","Tue Aug 18 10:59:43 UTC 2026","17422","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Tue Aug 18 10:59:43 UTC 2026","Tue Aug 18 11:00:16 UTC 2026","32677","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Tue Aug 18 10:58:40 UTC 2026","Tue Aug 18 10:59:04 UTC 2026","24557","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Tue Aug 18 10:59:04 UTC 2026","Tue Aug 18 10:59:26 UTC 2026","21341","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
