"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 22 07:57:02 UTC 2026","Wed Jul 22 07:57:54 UTC 2026","52017","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 22 07:56:39 UTC 2026","Wed Jul 22 07:57:02 UTC 2026","22327","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 22 07:56:16 UTC 2026","Wed Jul 22 07:56:39 UTC 2026","23469","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 22 07:55:55 UTC 2026","Wed Jul 22 07:56:16 UTC 2026","21098","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
