"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 18:43:26 UTC 2026","Thu Jul 16 18:43:52 UTC 2026","25353","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Thu Jul 16 18:42:27 UTC 2026","Thu Jul 16 18:42:57 UTC 2026","29948","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"failed","Thu Jul 16 18:42:57 UTC 2026","Thu Jul 16 18:43:26 UTC 2026","29309","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Thu Jul 16 18:43:52 UTC 2026","Thu Jul 16 18:44:16 UTC 2026","23901","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
