"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 09 19:13:14 UTC 2026","Sun Aug 09 19:13:29 UTC 2026","15065","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:13:29 UTC 2026","Sun Aug 09 19:13:59 UTC 2026","30680","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:12:57 UTC 2026","Sun Aug 09 19:13:14 UTC 2026","16615","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sun Aug 09 19:12:37 UTC 2026","Sun Aug 09 19:12:57 UTC 2026","19715","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
