"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 18:18:37 UTC 2026","Mon Jul 13 18:19:01 UTC 2026","23666","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 18:19:51 UTC 2026","Mon Jul 13 18:20:09 UTC 2026","18190","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 18:19:01 UTC 2026","Mon Jul 13 18:19:27 UTC 2026","25962","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Mon Jul 13 18:19:27 UTC 2026","Mon Jul 13 18:19:51 UTC 2026","24490","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
