"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 08 21:56:53 UTC 2026","Sat Aug 08 21:57:10 UTC 2026","16245","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Sat Aug 08 21:57:10 UTC 2026","Sat Aug 08 21:57:29 UTC 2026","19772","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Sat Aug 08 21:57:29 UTC 2026","Sat Aug 08 21:57:47 UTC 2026","17281","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Sat Aug 08 21:57:47 UTC 2026","Sat Aug 08 21:58:19 UTC 2026","32295","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
