"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 14:34:56 UTC 2026","Wed Jul 15 14:35:18 UTC 2026","22390","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 14:34:07 UTC 2026","Wed Jul 15 14:34:33 UTC 2026","26011","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 14:33:43 UTC 2026","Wed Jul 15 14:34:07 UTC 2026","23718","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Wed Jul 15 14:34:33 UTC 2026","Wed Jul 15 14:34:56 UTC 2026","22504","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
