"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 07 05:58:40 UTC 2026","Fri Aug 07 05:59:16 UTC 2026","36909","","Monitoramento Mobile","Cometa Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 05:57:31 UTC 2026","Fri Aug 07 05:57:53 UTC 2026","21326","","Monitoramento Mobile","Wemobi Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 05:58:17 UTC 2026","Fri Aug 07 05:58:39 UTC 2026","22443","","Monitoramento Mobile","Catarinense Login","","","Deve realizar o login com sucesso",""
"passed","Fri Aug 07 05:57:53 UTC 2026","Fri Aug 07 05:58:17 UTC 2026","24489","","Monitoramento Mobile","1001 Login","","","Deve realizar o login com sucesso",""
